,Code,Region,Income group,Lending category,HIPC,Data,missing_data,income share bottom quint.,income share bottom quint: year
Sweden,SWE,..,High income: OECD,,,1.0,,,
Switzerland,CHE,..,High income: OECD,,,0.0,"plgp, axfin_p, axfin_r",,
Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,IBRD,,1.0,,,
São Tomé and Príncipe,STP,Sub-Saharan Africa,Lower middle income,IDA,HIPC,0.0,,,
Tajikistan,TJK,Europe & Central Asia,Low income,IDA,,0.0,"social_p, social_r",,
Tanzania,TZA,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Thailand,THA,East Asia & Pacific,Upper middle income,IBRD,,1.0,,,
Timor-Leste,TMP,East Asia & Pacific,Lower middle income,Blend,,0.0,"axfin_p, axfin_r, avg_prod_k",,
Togo,TGO,Sub-Saharan Africa,Low income,IDA,HIPC,0.0,social_p,,
Tonga,TON,East Asia & Pacific,Upper middle income,IDA,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Trinidad and Tobago,TTO,..,High income: nonOECD,IBRD,,0.0,"share1, social_p, social_r, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Tunisia,TUN,Middle East & North Africa,Upper middle income,IBRD,,0.0,"axfin_p, axfin_r, social_p, social_r",,
Turkey,TUR,Europe & Central Asia,Upper middle income,IBRD,,1.0,,,
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,IBRD,,0.0,"share1, plgp, social_p, social_r, share1_ref, v, pv",,
Turks and Caicos Islands,TCA,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Tuvalu,TUV,East Asia & Pacific,Upper middle income,IDA,,0.0,"share1, plgp, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
Uganda,UGA,Sub-Saharan Africa,Low income,IDA,HIPC,1.0,,,
Ukraine,UKR,Europe & Central Asia,Lower middle income,IBRD,,1.0,,,
United Arab Emirates,ARE,..,High income: nonOECD,,,0.0,"share1, social_p, social_r, avg_prod_k, share1_ref, v, pv",,
United Kingdom,GBR,..,High income: OECD,,,1.0,,,
United States,USA,..,High income: OECD,,,1.0,,,
Uruguay,URY,..,High income: nonOECD,IBRD,,1.0,,0.474454114949652,2013
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,Blend,,0.0,"social_p, social_r",,
Vanuatu,VUT,East Asia & Pacific,Lower middle income,IDA,,0.0,"share1, unemp, axfin_p, axfin_r, social_p, social_r, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income,IBRD,,0.0,"social_p, social_r",,
Vietnam,VNM,East Asia & Pacific,Lower middle income,Blend,,1.0,,,
Virgin Islands (U.S.),VIR,..,High income: nonOECD,,,0.0,"gdp_pc_pp, share1, plgp, unemp, axfin_p, axfin_r, ophe, social_p, social_r, axhealth, avg_prod_k, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, share1_ref, v, pv",,
West Bank and Gaza,WBG,Middle East & North Africa,Lower middle income,,,0.0,"ophe, axhealth, avg_prod_k, faref, fa, fa_ratio_2, fa_ratio_5, fa_ratio_10, fa_ratio_25, fa_ratio_50, fa_ratio_100, fa_ratio_250, fa_ratio_500, fa_ratio_1000, v, pv",,
"Yemen, Rep.",YEM,Middle East & North Africa,Lower middle income,IDA,,1.0,,,
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,IDA,HIPC,1.0,,,
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,Blend,,0.0,"share1, ophe, social_p, social_r, axhealth, share1_ref, v, pv",,
